title,title_link,author,publisher,publication_date,#pages,isbn-10,isbn-13,reading_age
Point Omega,https://www.amazon.com/Point-Omega-Novel-Don-DeLillo/dp/1439169969/ref=sr_1_1?keywords=Point+Omega+by+Don+DeLillo&qid=1697470407&sr=8-1,Don Delillo,Scribner; Reprint edition,"December 14, 2010",128.0,1439169969,978-1439169964,
The Victorian Internet: The Remarkable Story Of The Telegraph And The Nineteenth Century'S On-Line Pioneers,https://www.amazon.com/Victorian-Internet-Remarkable-Nineteenth-line/dp/162040592X/ref=sr_1_1?keywords=The+Victorian+Internet+by+Tom+Standage&qid=1697470472&sr=8-1,Tom Standage,"Bloomsbury USA; Second Edition, Revised","February 25, 2014",256.0,162040592X,978-1620405925,
Narrative Of The Life Of Frederick Douglass - The Classic Autobiography,https://www.amazon.com/Narrative-Life-Frederick-Douglass-Autobiography/dp/1091420602/ref=sr_1_6?keywords=Narrative+of+the+Life+of+Frederick+Douglass+by+Frederick+Douglass&qid=1697470518&sr=8-6,Frederick Douglass,Independently published,"March 24, 2019",111.0,1091420602,978-1091420601,
The Inhabited Woman (The Americas),https://www.amazon.com/Inhabited-Woman-AMERICAS-Gioconda-Belli/dp/029920684X/ref=sr_1_1?keywords=The+Inhabited+Woman+by+Gioconda+Belli&qid=1697470618&sr=8-1,"Gioconda Belli, Kathleen March",University of Wisconsin Press,"December 8, 2004",414.0,029920684X,978-0299206840,
Highwire Moon,https://www.amazon.com/Highwire-Moon-Susan-Straight/dp/1640093591/ref=sr_1_1?keywords=Highwire+Moon+by+Susan+Straight&qid=1697470659&sr=8-1,Susan Straight,Counterpoint; Reissue edition,"October 22, 2019",370.0,1640093591,978-1640093591,
Bhagavad Gita: The Song Of God,https://www.amazon.com/Bhagavad-Gita-Song-Swami-Prabhavananda/dp/0874810434/ref=sr_1_1?crid=2XRL6SG4DZOX7&keywords=Bhagavad+Gita_Isherwood%2C+Swami+Prabhavananda&qid=1682716928&s=instant-video&sprefix=bhagavad+gita_isherwood%2C+swami+prab%2Cinstant-video%2C600&sr=1-1,"Swami Prabhavananda, Christopher Isherwood",Vedanta Press & Bookshop; 4th edition,"July 1, 1945",179.0,9780874810431,978-0874810431,
One Hundred Years Of Solitude: Awarded The Premio Romulo Gallegos 1972 (Penguin Modern Classics),https://www.amazon.com/Hundred-Solitude-Gabriel-Garcia-Marquez/dp/038001503X/ref=sr_1_5?keywords=One+Hundred+Years+of+Solitude+by+Gabriel+Garc%C3%ADa+M%C3%A1rquez&qid=1697470721&sr=8-5,Gabriel Garcia Marquez,Penguin Classics; New ed. edition,"August 31, 2000",432.0,014118499X,978-0141184999,
Breathing Underwater,https://www.amazon.com/Breathing-Underwater-Alex-Flinn/dp/0064472574/ref=sr_1_1?keywords=Breathing+Underwater+by+Alex+Flinn&qid=1697470803&sr=8-1,Alex Flinn,HarperTeen; Revised edition,"May 7, 2019",272.0,0064472574,978-0064472579,14
Beyond Katrina: A Meditation On The Mississippi Gulf Coast,https://www.amazon.com/Beyond-Katrina-Meditation-Mississippi-Coast-ebook/dp/B005F6A6IK/ref=sr_1_1?crid=2TR3WEV9D2BO1&keywords=beyond+katrina+trethewey&qid=1682008895&sprefix=beyond+katrina_trethewey%2Caps%2C428&sr=8-1,Natasha Trethewey,University of Georgia Press; 2nd edition,"August 1, 2015",144.0,082034902X,978-0820349022,
When Smoke Ran Like Water: Tales Of Environmental Deception And The Battle Against Pollution,https://www.amazon.com/When-Smoke-Like-Water-Environmental/dp/0465015220/ref=sr_1_1?keywords=When+Smoke+Ran+Like+Water+by+Devra+Davis&qid=1697470874&sr=8-1,Devra Davis,Basic Books; Reprint edition,"December 25, 2003",353.0,0465015220,978-0465015221,
On Dragonwings (Dragonsdawn / Dragonseye / Moreta) (Pern),https://www.amazon.com/Dragonwings-Pern-Dragons-Anne-McCaffrey-ebook/dp/B0067AN1YO/ref=sr_1_2?crid=8KL9HF2LKTJ5&keywords=Dragonsdawn+Anne+McCaffrey&qid=1666708972&qu=eyJxc2MiOiIwLjAwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=dragonsdawn+anne+mccaffrey%2Caps%2C502&sr=8-2,Anne Mccaffrey,Del Rey; 1st edition,"September 30, 2003",912.0,0345465652,978-0345465658,
"Finding Zoe: A Deaf Woman'S Story Of Identity, Love, And Adoption",https://www.amazon.com/Finding-Zoe-Womans-Identity-Adoption/dp/195066578X/ref=sr_1_1?keywords=Finding+Zoe+by+Brandi+Rarus&qid=1697470980&sr=8-1,"Brandi Rarus, Gail Harris",BenBella Books,"September 1, 2020",288.0,195066578X,978-1950665785,
Between The World And Me,https://www.amazon.com/Between-World-Ta-Nehisi-Coates-author/dp/0525510303/ref=sr_1_1?keywords=Between+the+World+and+Me+by+Ta-Nehisi+Coates&qid=1697471003&sr=8-1,Ta-Nehisi Coates,Random House LCC US,"September 5, 2017",176.0,0525510303,978-0525510307,
How To Win Friends And Influence People In The Digital Age (Dale Carnegie Books),https://www.amazon.com/How-Friends-Influence-People-Digital/dp/1451612591/ref=sr_1_10?keywords=How+to+Win+Friends+and+Influence+People+by+Dale+Carnegie&qid=1697471081&sr=8-10,Dale Carnegie,Simon & Schuster; Reprint edition,"December 25, 2012",272.0,9781451612592,978-1451612592,
The Long Shadow Of Little Rock: A Memoir,https://www.amazon.com/Long-Shadow-Little-Rock-Memoir/dp/1557288631/ref=sr_1_1?keywords=The+Long+Shadow+of+Little+Rock+by+Daisy+Bates&qid=1697471174&sr=8-1,"Daisy Bates, Clayborne Carson",University of Arkansas Press; Second printing December 1962 edition,"Illustrated, February 1, 2007",260.0,1557288631,978-1557288639,
The Drunkard'S Walk: How Randomness Rules Our Lives,https://www.amazon.com/Drunkards-Walk-Randomness-Rules-Lives/dp/0307275175/ref=sr_1_1?keywords=The+Drunkard%27s+Walk+by+Leonard+Mlodinow&qid=1697471206&sr=8-1,Leonard Mlodinow,Vintage; Reprint edition,"Illustrated, May 5, 2009",252.0,0307275175,978-0307275172,
One Flew Over The Cuckoo'S Nest: (Penguin Classics Deluxe Edition),https://www.amazon.com/One-Flew-Over-Cuckoos-Nest/dp/0451163966/ref=sr_1_1?crid=1I3V0B16PZGOK&keywords=One+Flew+Over+the+Cuckoo%27s+Nest+Ken+Kesey&qid=1666824911&qu=eyJxc2MiOiIxLjg0IiwicXNhIjoiMS4zMiIsInFzcCI6IjEuMDUifQ%3D%3D&sprefix=one+flew+over+the+cuckoo%27s+nest%2Caps%2C586&sr=8-1,"Ken Kesey, Joe Sacco, Robert Faggen",Penguin Classics; Deluxe ed. edition,"November 27, 2007",320.0,0143105027,978-0143105022,
Once Upon A Quinceanera: Coming Of Age In The Usa,https://www.amazon.com/Once-Upon-Quinceanera-Alvarez-2008-07-29/dp/B01FIZLOGA/ref=sr_1_1?keywords=Once+Upon+a+Quinceanera+by+Julia+Alvarez&qid=1697471298&sr=8-1,Julia Alvarez,Plume; Reprint edition,"July 29, 2008",275.0,0452288304,978-0452288300,
The Stranger,https://www.amazon.com/Stranger-Albert-Camus/dp/0679720200/ref=sr_1_1?keywords=The+Stranger+by+Albert+Camus&qid=1697471327&sr=8-1,Albert Camus,Vintage,"March 13, 1989",123.0,9780679720201,978-0679720201,
Colors Of The Mountain: A Memoir,https://www.amazon.com/Colors-Mountain-Chen/dp/0385720602/ref=sr_1_1?keywords=Colors+of+the+Mountain+by+Da+Chen&qid=1697471434&sr=8-1,Da Chen,Anchor; Trade Paperback Edition,"January 16, 2001",320.0,0385720602,978-0385720601,
Gulliver’S Travels (Collins Classics),https://www.amazon.com/Gullivers-Travels-Collins-Classics-Jonathan/dp/000735102X/ref=sr_1_5?keywords=Gulliver%27s+Travels+by+Jonathan+Swift&qid=1697471488&sr=8-5,Jonathan Swift,William Collins; Reprint edition,"July 23, 2013",336.0,9780007351022,978-0007351022,18
Brother To A Dragonfly (Banner Books),https://www.amazon.com/Brother-Dragonfly-Banner-Books-Campbell/dp/1496816307/ref=sr_1_1?keywords=Brother+to+a+Dragonfly+by+Will+D.+Campbell&qid=1697471580&sr=8-1,"Will D. Campbell, Jimmy Carter",University Press of Mississippi; Reprint edition,"March 16, 2018",288.0,1496816307,978-1496816306,
The Forgotten Man,https://www.amazon.com/Forgotten-Man-Robert-Crais/dp/1409135616/ref=sr_1_1?keywords=The+Forgotten+Man+by+Robert+Crais&qid=1697471624&sr=8-1,Robert Crais,Orion,"January 1, 2011",416.0,1409135616,978-1409135616,
A Human Being Died That Night: A South African Woman Confronts The Legacy Of Apartheid,https://www.amazon.com/Human-Being-Died-That-Night/dp/0618446591/ref=sr_1_1?keywords=A+Human+Being+Died+That+Night+by+Pumla+Gobodo-Madikizela&qid=1697471662&sr=8-1,Pumla Gobodo-Madikizela,Mariner Books; 59371st edition,"April 19, 2004",208.0,0618446591,978-0618446599,
There'S A Girl In My Hammerlock,https://www.amazon.com/Theres-Girl-Hammerlock-Jerry-Spinelli/dp/1416939377/ref=sr_1_1?keywords=There%27s+a+Girl+in+my+Hammerlock+by+Jerry+Spinelli&qid=1697471684&sr=8-1,Jerry Spinelli,Aladdin; Reissue edition,"April 24, 2007",208.0,1416939377,978-1416939375,9
Saint Anything,https://www.amazon.com/Saint-Anything-Sarah-Dessen/dp/014751603X/ref=sr_1_1?keywords=Saint+Anything+by+Sarah+Dessen&qid=1697471713&sr=8-1,Sarah Dessen,Speak; Reprint edition,"May 31, 2016",448.0,014751603X,978-0147516039,12
The Real Life Of Sebastian Knight (New Directions Paperbook),https://www.amazon.com/Real-Sebastian-Knight-Directions-Paperbook/dp/0811217507/ref=sr_1_1?keywords=The+Real+Life+of+Sebastian+Knight+by+Vladimir+Nabokov&qid=1697471779&sr=8-1,Vladimir Nabokov,New Directions,"July 17, 2008",224.0,0811217507,978-0811217507,
The Inexplicable Logic Of My Life,https://www.amazon.com/Inexplicable-Logic-My-Life/dp/1328498026/ref=sr_1_1?keywords=The+Inexplicable+Logic+of+My+Life+by+Benjamin+Saenz&qid=1697471851&sr=8-1,Benjamin Alire Saenz,Clarion Books; Reprint edition,"October 23, 2018",464.0,1328498026,978-1328498021,12
"No Choirboy: Murder, Violence, And Teenagers On Death Row",https://www.amazon.com/No-Choirboy-Murder-Violence-Teenagers/dp/1250044456/ref=sr_1_1?keywords=No+Choirboy+by+Susan+Kuklin&qid=1697471883&sr=8-1,Susan Kuklin,Square Fish; First Edition,"August 12, 2014",240.0,1250044456,978-1250044457,14
Swimming To Antarctica: Tales Of A Long-Distance Swimmer,https://www.amazon.com/Swimming-Antarctica-Tales-Long-Distance-Swimmer/dp/0156031302/ref=sr_1_1?keywords=Swimming+to+Antarctica+by+Lynne+Cox&qid=1697471910&sr=8-1,Lynne Cox,Mariner Books; First Edition,"March 7, 2005",359.0,0156031302,978-0156031301,14
Zen And The Art Of Faking It,https://www.amazon.com/Zen-Faking-Jordan-Sonnenblick-2010-01-05/dp/B01K91BXAU/ref=sr_1_1?keywords=Zen+and+the+Art+of+Faking+It+by+Jordan+Sonnenblick&qid=1697471973&sr=8-1,Jordan Sonnenblick,Scholastic Paperbacks,"January 1, 2010",272.0,043983709X,978-0439837095,12
"The Silver Pigs (Marcus Didius Falco Mysteries) (Marcus Didius Falco Mysteries, 1)",https://www.amazon.com/Silver-Pigs-Detective-Novel-Ancient/dp/0345369076/ref=sr_1_1?keywords=The+Silver+Pigs+by+Lindsey+Davis&qid=1697471988&sr=8-1,Lindsey Davis,Minotaur Books,"September 13, 2011",352.0,0312614241,978-0312614249,
In Praise Of Shadows,https://www.amazon.com/Praise-Shadows-Tanizaki-Junichiro/dp/480530488X/ref=sr_1_3?crid=1E9RDYTEKX7FA&keywords=In+Praise+of+Shadows+Jun%27ichir%C5%8D+Tanizaki&qid=1666723341&sprefix=in+praise+of+shadows+jun%27ichir%C5%8D+%2Caps%2C586&sr=8-3,Tanizaki Jun'Ichiro,Charles E. Tuttle Co.,"January 1, 1984",1000.0,480530488X,978-4805304884,
"The Second Machine Age: Work, Progress, And Prosperity In A Time Of Brilliant Technologies",https://www.amazon.com/Second-Machine-Age-Prosperity-Technologies/dp/0393350649/ref=sr_1_1?crid=IT1QW73T30S6&keywords=The+Second+Machine+Age_Andrew+Mcafee&qid=1682094289&s=instant-video&sprefix=the+second+machine+age_andrew+mca%2Cinstant-video%2C500&sr=1-1,Erik Brynjolfsson,W. W. Norton & Company; Reprint edition,"January 25, 2016",336.0,0393350649,978-0393350647,
A Tugging String: A Novel About Growing Up During The Civil Rights Era,https://www.amazon.com/Tugging-String-Growing-During-Rights/dp/0525479678/ref=sr_1_1?keywords=A+Tugging+String+by+David+Greenberg&qid=1697472110&sr=8-1,David T. Greenberg,Dutton Books for Young Readers,"October 16, 2008",167.0,0525479678,978-0525479673,9
Lie Down With Lions,https://www.amazon.com/Lie-Down-Lions-Signet-Follett/dp/0451163508/ref=sr_1_1?keywords=Lie+Down+with+Lions+by+Ken+Follett&qid=1697472127&sr=8-1,Ken Follett,Penguin Books; Reprint edition,"December 2, 2003",320.0,0451210468,978-0451210463,
Brave New World And Brave New World Revisited,https://www.amazon.com/Brave-New-World-Revisited/dp/0060776099/ref=sr_1_1?crid=XS0M7TG31TQK&keywords=brave+new+world+revisited+huxley&qid=1683048085&s=instant-video&sprefix=brave+new+world+revisited_huxley%2Cinstant-video%2C564&sr=1-1,Aldous Huxley,Harper Perennial Modern Classics; Reprint edition,"July 5, 2005",340.0,0060776099,978-0060776091,
The Mephisto Club: A Rizzoli & Isles Novel: A Novel,https://www.amazon.com/Mephisto-Club-Jane-Rizzoli-Book/dp/0345477006/ref=sr_1_1?keywords=The+Mephisto+Club+by+Tess+Gerritsen&qid=1697472305&sr=8-1,Tess Gerritsen,Ballantine Books,"May 31, 2016",480.0,1101885289,978-1101885284,
All Our Yesterdays,https://www.amazon.com/All-Our-Yesterdays-Cristin-Terrill/dp/B093RWX7ZQ/ref=sr_1_1?keywords=All+Our+Yesterdays+by+Cristin+Terrill&qid=1697472373&sr=8-1,Cristin Terrill,Independently published,"September 3, 2013",330.0,,979-8745033575,
Lost In Translation: A Novel,https://www.amazon.com/Lost-Translation-Novel-Nicole-Mones/dp/0385319444/ref=sr_1_1?keywords=Lost+in+Translation+by+Nicole+Mones&qid=1697472409&sr=8-1,Nicole Mones,Delta,"May 11, 1999",384.0,9780385319447,978-0385319447,
Concussion,https://www.amazon.com/Concussion-Jeanne-Marie-Laskas/dp/0812987578/ref=sr_1_1?keywords=Concussion+by+Jeanne+Marie+Laskas&qid=1697472428&sr=8-1,Jeanne Marie Laskas,Random House Trade Paperbacks; Reprint edition,"November 24, 2015",304.0,9780812987577,978-0812987577,
Losers Take All: A Novel,https://www.amazon.com/Losers-Take-All-David-Klass/dp/1250090598/ref=sr_1_1?keywords=Losers+Take+All+by+David+Klass&qid=1697472492&sr=8-1,David Klass,Square Fish; Reprint edition,"December 20, 2016",336.0,1250090598,978-1250090591,12
Anything But Typical,https://www.amazon.com/Anything-Typical-Nora-Raleigh-Baskin/dp/1416995005/ref=sr_1_1?keywords=Anything+But+Typical+by+Nora+Raleigh+Baskin&qid=1697472538&sr=8-1,Nora Raleigh Baskin,S&S Books for Young Readers; Reprint edition,"March 9, 2010",224.0,1416995005,978-1416995005,10
Divided In Death. Nora Roberts Writing As J.D. Robb,https://www.amazon.com/Divided-Death-Nora-Roberts-Writing/dp/0749957387/ref=sr_1_1?keywords=Divided+in+Death+by+J.+D.+Robb+%28Nora+Roberts%29&qid=1697472582&sr=8-1,J.D. Robb,Piatkus Books,"International Edition, April 12, 2012",480.0,0749957387,978-0749957384,
Rotters,https://www.amazon.com/Rotters-Daniel-Kraus/dp/0385738587/ref=sr_1_1?keywords=Rotters+by+Daniel+Kraus&qid=1697472632&sr=8-1,Daniel Kraus,Ember; Reprint edition,"April 10, 2012",464.0,0385738587,978-0385738583,14
Troy,https://www.amazon.com/Troy-Adele-Geras/dp/B0032YD4KE/ref=sr_1_1?keywords=Troy+by+Ad%C3%A8le+Geras&qid=1697472708&sr=8-1,Adèle Geras,Clarion Books; Reprint edition,"June 6, 2017",368.0,0544925467,978-0544925465,14
Clockwork Angel,https://www.amazon.com/Clockwork-Angel-Infernal-Devices-Cassandra/dp/1406330345/ref=sr_1_2?crid=FTPU4U9DZVEY&keywords=Clockwork+Angel&qid=1675992452&s=books&sprefix=clockwork+angel%2Cstripbooks-intl-ship%2C290&sr=1-2,Clare Cassandra,Walker & Company,"January 1, 2011",400.0,1406330345,978-1406330342,
The Coffin Dancer: A Novel (A Lincoln Rhyme Novel),https://www.amazon.com/Coffin-Dancer-Lincoln-Rhyme-Novel/dp/0671024094/ref=sr_1_1?keywords=The+Coffin+Dancer+by+Jeffery+Deaver&qid=1697472849&sr=8-1,Jeffery Deaver,Simon & Schuster; Reprint edition,"October 1, 2019",432.0,1982140208,978-1982140205,
Harriet Tubman: Conductor On The Underground Railroad,https://www.amazon.com/Harriet-Tubman-Conductor-Underground-Railroad/dp/0062668269/ref=sr_1_4?crid=3QKDBE81VV4X0&keywords=harriet+tubman+poetry&qid=1682858942&sprefix=harriet+tubman_petry%2Caps%2C509&sr=8-4,Ann Petry,Amistad Books for Young Readers; Revised edition,"Illustrated, January 2, 2018",272.0,0062668269,978-0062668264,8
Agatha Christie: The Woman And Her Mysteries,https://www.amazon.com/Agatha-Christie-Woman-Her-Mysteries/dp/1861052529/ref=sr_1_1?keywords=Agatha+Christie+by+Gillian+Gill&qid=1697472941&sr=8-1,Gillian Gill,Robson Book Ltd,"January 1, 2000",242.0,1861052529,978-1861052520,
"The Princess Diaries Volume Iii: Princess In Love (Princess Diaries, 3)",https://www.amazon.com/Princess-Love-Diaries-Vol/dp/0064472809/ref=sr_1_1?keywords=Princess+in+Love+by+Meg+Cabot&qid=1697473021&sr=8-1,Meg Cabot,HarperCollins; Standard Edition,"October 27, 2020",288.0,0062998471,978-0062998477,8
Spinoza: A Life,https://www.amazon.com/Spinoza-Life-Steven-Nadler/dp/1108442463/ref=sr_1_1?keywords=Spinoza+by+Steven+Nadler&qid=1697473072&sr=8-1,Steven Nadler,Cambridge University Press; 2nd edition,"August 18, 2022",458.0,1108442463,978-1108442466,
Pkt Wife,https://www.amazon.com/Pocket-Wife-Novel-Susan-Crawford/dp/0062362860/ref=sr_1_1?keywords=The+Pocket+Wife+by+Susan+Crawford&qid=1697473164&sr=8-1,Susan Crawford,MorrowPb; Reprint edition,"November 30, 2015",320.0,0062362860,978-0062362865,
Gateway To Freedom: The Hidden History Of The Underground Railroad,https://www.amazon.com/Gateway-Freedom-History-Underground-Railroad/dp/0393352196/ref=sr_1_1?keywords=Gateway+to+Freedom+by+Eric+Foner&qid=1697473241&sr=8-1,Eric Foner,W. W. Norton & Company; Reprint edition,"January 18, 2016",352.0,0393352196,978-0393352191,
Gossip Girl / Because I'M Worth It / You Know You Love Me / All I Want Is Everything,https://www.amazon.com/Gossip-Girl-Because-Worth-Everything/dp/B003FBWQVM/ref=sr_1_7?keywords=All+I+Want+Is+Everything+by+Cecily+Von+Ziegesar&qid=1697473298&sr=8-7,Cecily Von Ziegesar,,"January 1, 2005",0.0,,,
,https://www.amazon.com/kindle-dbs/books-category/browse-redirect/?ref=tv_grch_bg&node=23579471011&pinnedAsins=0446178438,,,,,,,
Surviving Hitler: A Boy In The Nazi Death Camps,https://www.amazon.com/Surviving-Hitler-Nazi-Death-Camps/dp/0060007672/ref=sr_1_1?keywords=Surviving+Hitler+by+Andrea+Warren&qid=1696960188&sr=8-1,Andrea Warren,HarperCollins; Reprint edition,"Illustrated, September 17, 2002",160.0,0060007672,978-0060007676,10
"The Janissary Tree: A Novel (Investigator Yashim, 1)",https://www.amazon.com/Janissary-Tree-Novel-Investigator-Yashim/dp/0312426135/ref=sr_1_1?keywords=The+Janissary+Tree+by+Jason+Goodwin&qid=1696960252&sr=8-1,Jason Goodwin,Picador; First Edition,"May 15, 2006",320.0,0312426135,978-0312426132,
"Ties That Bind, Ties That Break",https://www.amazon.com/Ties-That-Bind-Break/dp/0141317159/ref=sr_1_1?keywords=Ties+That+Bind%2C+Ties+That+Break+by+Lensey+Namioka&qid=1696960284&sr=8-1,Lensey Namioka,Puffin Bks,"January 1, 2003",160.0,9780141317151,978-0141317151,9
Star Of The Sea,https://www.amazon.com/Star-Sea-Joseph-OConnor/dp/0156029669/ref=sr_1_1?keywords=Star+of+the+Sea+by+Joseph+O%27Connor&qid=1696960324&sr=8-1,Joseph O'Connor,Harper Paperbacks,"March 8, 2004",432.0,0156029669,978-0156029667,14
Choosing Up Sides,https://www.amazon.com/Choosing-Up-Sides-John-Ritter/dp/0698118405/ref=sr_1_1?keywords=Choosing+Up+Sides+by+John+H.+Ritter&qid=1696960389&sr=8-1,John Ritter,Viking Books for Young Readers; English Language edition,"April 1, 2000",176.0,0698118405,978-0698118409,10
Jeremy Fink And The Meaning Of Life,https://www.amazon.com/Jeremy-Fink-Meaning-Life-Wendy/dp/0316058491/ref=sr_1_1?keywords=Jeremy+Fink+and+the+Meaning+of+Life+by+Wendy+Mass&qid=1696960409&sr=8-1,Wendy Mass,"Little, Brown Books for Young Readers; Reprint edition","February 1, 2008",304.0,9780316058490,978-0316058490,10
"[(The Overton Window)] [Author: Glenn Beck] Published On (December, 2010)",https://www.amazon.com/Overton-Window-Glenn-Beck/dp/1451625286/ref=sr_1_1?keywords=The+Overton+Window+by+Glenn+Beck&qid=1696960440&sr=8-1,Glenn Beck,,,0.0,,,
Fire Shut Up In My Bones,https://www.amazon.com/Fire-Shut-Up-My-Bones/dp/0544570111/ref=sr_1_1?keywords=Fire+Shut+Up+in+My+Bones+by+Charles+M.+Blow&qid=1696960505&sr=8-1,Charles M. Blow,Mariner Books; Reprint edition,"September 1, 2015",240.0,0544570111,978-0544570115,
Evil Genius,https://www.amazon.com/Evil-Genius-catherine-jinks/dp/1741144590/ref=sr_1_1?keywords=Evil+Genius+by+Catherine+Jinks&qid=1696960540&sr=8-1,Catherine Jinks,Clarion Books; Reprint edition,"October 4, 2011",496.0,9780152061852,978-0152061852,7
Methland: The Death And Life Of An American Small Town,https://www.amazon.com/Methland-Death-Life-American-Small/dp/1608192075/ref=sr_1_1?keywords=Methland+by+Nick+Reding&qid=1696960575&sr=8-1,Nick Reding,Bloomsbury USA; Reprint edition,"June 3, 2010",288.0,9781608192076,978-1608192076,
Heir Apparent,https://www.amazon.com/Heir-Apparent-Vivian-Vande-Velde/dp/0152051252/ref=sr_1_1?keywords=Heir+Apparent+by+Vivian+Vande+Velde&qid=1696960606&sr=8-1,Vivian Vande Velde,Clarion Books; First Edition,"June 1, 2004",352.0,0152051252,978-0152053413,10
Maisie Dobbs,https://www.amazon.com/Maisie-Dobbs-Jacqueline-Winspear/dp/1616954078/ref=sr_1_1?keywords=Maisie+Dobbs+by+Jacqueline+Winspear&qid=1696960655&sr=8-1,Jacqueline Winspear,Soho Crime; Reissue edition,"June 3, 2014",336.0,1616954078,978-1616954079,
The Hound Of Rowan: Book One Of The Tapestry,https://www.amazon.com/Hound-Rowan-Book-One-Tapestry/dp/0375838953/ref=sr_1_1?keywords=The+Hound+of+Rowan+by+Henry+H.+Neff&qid=1696960718&sr=8-1,Henry H. Neff,Yearling; Illustrated edition,"Illustrated, September 23, 2008",448.0,0375838953,978-0375838958,8
Good People,https://www.amazon.com/Good-People-Thriller-Marcus-Sakey-ebook/dp/B001D6FIPW/ref=sr_1_1?crid=34GZYKL2C72WC&keywords=Good+People_Sakey&qid=1682885838&s=instant-video&sprefix=good+people_sakey%2Cinstant-video%2C391&sr=1-1,Marcus Sakey,Corgi Books,"January 1, 2013",352.0,0552160849,978-0552160841,
Breaking Beautiful,https://www.amazon.com/Breaking-Beautiful-Jennifer-Shaw-Wolf/dp/0802734405/ref=sr_1_1?keywords=Breaking+Beautiful+by+Jennifer+Shaw+Wolf&qid=1696960776&sr=8-1,Jennifer Shaw Wolf,Bloomsbury USA Childrens; Reprint edition,"February 18, 2014",384.0,0802734405,978-0802734402,14
Huck’S Raft: A History Of American Childhood,https://www.amazon.com/Hucks-Raft-History-American-Childhood/dp/0674019989/ref=sr_1_1?keywords=Huck%27s+Raft+by+Steven+Mintz&qid=1696960793&sr=8-1,Steven Mintz,An Imprint of Harvard University Press; 59971st edition,"April 30, 2006",464.0,0674019989,978-0674019980,
Words In Deep Blue,https://www.amazon.com/Words-Deep-Blue-Cath-Crowley/dp/110193767X/ref=sr_1_1?crid=QX0UNFWJUR3X&keywords=Words+in+Deep+Blue+Cath+Crowley&qid=1666789582&qu=eyJxc2MiOiIxLjQyIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=words+in+deep+blue+cath+crowley%2Caps%2C549&sr=8-1,Cath Crowley,Ember; Reprint edition,"May 29, 2018",288.0,110193767X,978-1101937679,14
"Forced Founders: Indians, Debtors, Slaves, And The Making Of The American Revolution In Virginia (Published By The Omohundro Institute Of Early ... And The University Of North Carolina Press)",https://www.amazon.com/Forced-Founders-Revolution-Williamsburg-1999-09-03/dp/B01FGMWGA8/ref=sr_1_1?keywords=Forced+Founders+by+Woody+Holton&qid=1696960812&sr=8-1,Woody Holton,Omohundro Institute and UNC Press; First Edition,"September 1, 1999",231.0,0807847844,978-0807847848,
Dying To Know You,https://www.amazon.com/Dying-Know-You-Aidan-Chambers/dp/1419707949/ref=sr_1_1?keywords=Dying+to+Know+You+by+Aidan+Chambers&qid=1696960829&sr=8-1,Aidan Chambers,Amulet Paperbacks; Reprint edition,"September 3, 2013",288.0,1419707949,978-1419707940,13
In Search Of The Promised Land: A Slave Family In The Old South (New Narratives In American History),https://www.amazon.com/Search-Promised-Land-Narratives-American/dp/0195160886/ref=sr_1_1?crid=1ELMGPRF6O8LL&keywords=in+search+of+the+promised+land+john+hope+franklin&qid=1682062089&s=instant-video&sprefix=in+search+of+the+promised+land_j%2Cinstant-video%2C683&sr=1-1,John Hope Franklin,Oxford University Press; 1st edition,"February 23, 2006",286.0,0195160886,978-0195160888,
Four Blind Mice (Alex Cross),https://www.amazon.com/Four-Blind-Mice-Alex-Cross/dp/0755349369/ref=sr_1_1?keywords=Four+Blind+Mice+by+James+Patterson&qid=1696960868&sr=8-1,James Patterson,Headline Publishing Group; International Edition,"January 1, 2010",387.0,0755349369,978-0755349364,
Life On The Color Line: The True Story Of A White Boy Who Discovered He Was Black,https://www.amazon.com/Life-Color-Line-Story-Discovered/dp/0452275334/ref=sr_1_1?keywords=Life+on+the+Color+Line+by+Gregory+Howard+Williams&qid=1696960956&sr=8-1,Gregory Howard Williams,Plume,"Illustrated, February 1, 1996",285.0,0452275334,978-0452275331,
The Hammer Of Eden,https://www.amazon.com/Hammer-of-Eden/dp/1509864326/ref=sr_1_1?keywords=The+Hammer+of+Eden+by+Ken+Follett&qid=1696960980&sr=8-1,Ken Follett,Pan; New Edit/Cover edition,"May 30, 2019",576.0,1509864326,978-1509864324,18
Daytripper,https://www.amazon.com/Daytripper-Gabriel-B%C3%A1-F%C3%A1bio-Moon/dp/9896825890/ref=sr_1_14?crid=3VE1KN8DGV99K&keywords=Daytripper+Gabriel+B%C3%A1%2CF%C3%A1bio+Moon&qid=1666810709&qu=eyJxc2MiOiIwLjU5IiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=daytripper+gabriel+b%C3%A1%2Cf%C3%A1bio%2Caps%2C641&sr=8-14,"Fábio Moon, Gabriel Bá",Levoir,"August 18, 2016",256.0,9896825890,978-9896825898,
