title,title_link,author,publisher,publication_date,#pages,isbn-10,isbn-13,reading_age
The Luckiest Girl In The World : A Young Skater Battles Her Self-Destructive Impulses,https://www.amazon.com/Luckiest-Girl-World-Self-Destructive-Impulses/dp/0140266259/ref=sr_1_1?keywords=The+Luckiest+Girl+in+the+World+by+Steven+Levenkron&qid=1697046270&sr=8-1,Steven Levenkron,Penguin Books; First Edition,"March 1, 1998",192.0,0140266259,978-0140266252,18
Boy Kings Of Texas: A Memoir,https://www.amazon.com/Boy-Kings-Texas-Domingo-Martinez/dp/0762779195/ref=sr_1_1?keywords=Boy+Kings+of+Texas+by+Domingo+Martinez&qid=1697046281&sr=8-1,Domingo Martinez,Lyons Press; 60507th edition,"July 3, 2012",456.0,0762779195,978-0762779192,
Flawed Dogs: The Novel: The Shocking Raid On Westminster,https://www.amazon.com/Flawed-Dogs-Novel-Shocking-Westminster/dp/0425289516/ref=sr_1_1?keywords=Flawed+Dogs+by+Berkeley+Breathed&qid=1697046295&sr=8-1,Berkeley Breathed,Puffin Books; Reprint edition,"March 7, 2017",240.0,0425289516,978-0425289518,3
"[Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind #6)] [By: Lahaye, Tim] [April, 2011]",https://www.amazon.com/Assassins-Assignment-Jerusalem-Target-Antichrist/dp/B00T6MEH1Q/ref=sr_1_4?crid=2G02TU30RNCDN&keywords=Assassins_Jerry+B.+Jenkins&qid=1682632043&s=instant-video&sprefix=assassins_jerry+b.+jenkins%2Cinstant-video%2C476&sr=1-4,Tim Lahaye,,,0.0,,,
Before Night Falls: A Memoir,https://www.amazon.com/Before-Night-Falls-Reinaldo-Arenas/dp/0140157654/ref=sr_1_1?keywords=Before+Night+Falls+by+Reinaldo+Arenas&qid=1697046469&sr=8-1,Reinaldo Arenas,Penguin Books; Reprint edition,"October 1, 1994",317.0,0140157654,978-0140157659,18
Breathing Lessons: A Novel,https://www.amazon.com/Breathing-Lessons-Novel-Anne-Tyler/dp/0345485572/ref=sr_1_1?keywords=Breathing+Lessons+by+Anne+Tyler&qid=1697046532&sr=8-1,Anne Tyler,Vintage; Reissue edition,"November 1, 2005",339.0,0345485572,978-0345485571,
The Line Of Beauty: A Novel,https://www.amazon.com/Line-Beauty-Novel-Alan-Hollinghurst/dp/1582346100/ref=sr_1_1?keywords=The+Line+of+Beauty+by+Alan+Hollinghurst&qid=1697046608&sr=8-1,Alan Hollinghurst,Bloomsbury USA; Reprint edition,"October 17, 2005",448.0,1582346100,978-1582346106,
The Chant Of Jimmie Blacksmith,https://www.amazon.com/Chant-Jimmie-Blacksmith-Novel-ebook/dp/B017JOQVHU/ref=sr_1_1?crid=1IVUOJJTZ6AT9&keywords=The+Chant+of+Jimmie+Blacksmith+Thomas+Keneally&qid=1666706285&sprefix=the+chant+of+jimmie+blacksmith+thom%2Caps%2C631&sr=8-1,Thomas Keneally,HarperCollinsPublishers Australia,"March 1, 2013",192.0,0732296900,978-0732296902,
Fever Pitch: Ballfieber - Die Geschichte Eines Fans,https://www.amazon.com/Fever-Pitch-Ballfieber-Geschichte-German-ebook/dp/B072K6PY4G/ref=sr_1_8?crid=3NF02X13T98ZC&keywords=Fever+Pitch+Nick+Hornby&qid=1666816511&qu=eyJxc2MiOiIxLjE1IiwicXNhIjoiMC44NyIsInFzcCI6IjAuODYifQ%3D%3D&sprefix=fever+pitch+nick+hornby%2Caps%2C371&sr=8-8,Nick Hornby,Kiepenheuer & Witsch GmbH,"June 20, 2013",352.0,9783462044430,978-3462044430,
Tiger Eyes,https://www.amazon.com/Tiger-Eyes-Judy-Blume/dp/1481413872/ref=sr_1_1?keywords=Tiger+Eyes+by+Judy+Blume&qid=1697046725&sr=8-1,Judy Blume,Atheneum Books for Young Readers; Reprint edition,"April 29, 2014",256.0,1481413872,978-1481413879,12
The House Of Blue Leaves,https://www.amazon.com/House-Blue-Leaves-John-Guare/dp/0573610282/ref=sr_1_1?keywords=The+House+of+Blue+Leaves+by+John+Guare&qid=1697046806&sr=8-1,John Guare,"Samuel French, Inc.; Illustrated edition","April 11, 2011",82.0,0573610282,978-0573610288,
Under The Tuscan Sun: At Home In Italy,https://www.amazon.com/Under-Tuscan-Sun-Home-Italy/dp/0767900383/ref=sr_1_1?keywords=Under+the+Tuscan+Sun+by+Frances+Mayes&qid=1697046888&sr=8-1,Frances Mayes,Crown; Reprint edition,"September 2, 1997",320.0,0767900383,978-0767900386,
A Soldier'S Play: A Play (Dramabook),https://www.amazon.com/Soldiers-Play-Dramabook/dp/0374521484/ref=sr_1_1?keywords=A+Soldier%27s+Play+by+Charles+Fuller&qid=1697046961&sr=8-1,Charles Fuller,Hill and Wang,"September 1, 1982",112.0,0374521484,978-0374521486,
What The Butler Saw,https://www.amazon.com/What-Butler-Saw-Modern-Plays/dp/0413366804/ref=sr_1_1?keywords=What+the+Butler+Saw+by+Joe+Orton&qid=1697047036&sr=8-1,Joe Orton,Methuen; Revised edition,"January 1, 1969",92.0,9780413366801,978-0413366801,
Last Exit To Brooklyn (Evergreen Book),https://www.amazon.com/Last-Exit-Brooklyn-Evergreen-Book/dp/0802131379/ref=sr_1_1?keywords=Last+Exit+to+Brooklyn+by+Hubert+Selby+Jr.&qid=1697047119&sr=8-1,Hubert Selby Jr.,Grove Press,"January 13, 1994",320.0,9780802131379,978-0802131379,
The Shell Collector: Stories,https://www.amazon.com/Shell-Collector-Stories-Anthony-Doerr/dp/1439190054/ref=sr_1_1?keywords=The+Shell+Collector+by+Anthony+Doerr&qid=1697047218&sr=8-1,Anthony Doerr,Scribner; Standard Edition,"January 4, 2011",256.0,1439190054,978-1439190050,
